date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2020-12-24","6565","","","",""
"2020-12-25","6759","32409.02","4578.431","5.32","1125.81"
"2020-12-28","6754","","","",""
"2020-12-29","6579","","","",""
"2020-12-30","6608","","","",""
"2020-12-31","6641","","","",""
"2021-01-01","","37428.26","5346.894","4.56","1121.25"
"2021-01-04","6461","","","",""
"2021-01-05","6337","","","",""
"2021-01-06","6339","","","",""
"2021-01-07","6377","","","",""
"2021-01-08","6330","29130.39","4161.484","10.25","1110.99"
"2021-01-11","6039","","","",""
"2021-01-12","6040","","","",""
"2021-01-13","6083","","","",""
"2021-01-14","5992","","","",""
"2021-01-15","6005","32038.15","4576.879","33.82","1077.17"
"2021-01-18","6254","","","",""
"2021-01-19","6182","","","",""
"2021-01-20","6185","","","",""
"2021-01-21","6074","","","",""
"2021-01-22","6046","36014.43","5144.919","39.53","1037.64"
"2021-01-25","6041","","","",""
"2021-01-26","6056","","","",""
"2021-01-27","6060","","","",""
"2021-01-28","6056","","","",""
"2021-01-29","6057","40602.86","5800.409","32.98","1004.66"
"2021-02-01","6158","","","",""
"2021-02-02","6097","","","",""
"2021-02-03","6027","","","",""
"2021-02-04","6008","","","",""
"2021-02-05","6041","44351.79","6335.97","40.07","964.58"
"2021-02-08","6060","","","",""
"2021-02-09","6055","","","",""
"2021-02-10","6168","","","",""
"2021-02-12","","37145.31","5306.473","",""
"2021-02-18","6084","","","",""
"2021-02-19","6301","24093.07","3441.867","59.29","905.3"
"2021-02-22","6222","","","",""
"2021-02-23","6264","","","",""
"2021-02-24","6089","","","",""
"2021-02-25","6081","","","",""
"2021-02-26","6035","27319.48","3902.783","27.37","877.93"
"2021-03-01","5712","","","",""
"2021-03-02","5657","","","",""
"2021-03-03","5660","","","",""
"2021-03-04","5540","","","",""
"2021-03-05","5585","28688.26","4098.323","23.29","854.64"
"2021-03-08","5404","","","",""
"2021-03-09","5388","","","",""
"2021-03-10","5364","","","",""
"2021-03-11","5388","","","",""
"2021-03-12","5347","27503.67","3929.096","15.71","838.93"
"2021-03-15","5346","","","",""
"2021-03-16","5370","","","",""
"2021-03-17","5254","","","",""
"2021-03-18","5292","","","",""
"2021-03-19","5173","29728.55","4246.936","17.31","821.62"
"2021-03-22","4939","","","",""
"2021-03-23","5043","","","",""
"2021-03-24","6263","","","",""
"2021-03-25","6067","","","",""
"2021-03-26","5880","27670.69","3952.956","22.18","799.44"
"2021-03-29","6090","","","",""
"2021-03-30","5907","","","",""
"2021-03-31","5768","","","",""
"2021-04-01","5834","","","",""
"2021-04-02","5813","30114.9","4302.129","30.56","768.88"
"2021-04-06","5669","","","",""
"2021-04-07","5747","","","",""
"2021-04-08","5886","","","",""
"2021-04-09","5765","27889.03","3984.147","31.64","737.68"
"2021-04-12","5948","","","",""
"2021-04-13","6037","","","",""
"2021-04-14","5895","","","",""
"2021-04-15","5874","","","",""
"2021-04-16","5855","28630.53","4090.076","47.5","690.18"
"2021-04-19","5670","","","",""
"2021-04-20","5637","","","",""
"2021-04-21","5735","","","",""
"2021-04-22","5882","","","",""
"2021-04-23","5837","28473.91","4067.701","49.93","640.25"
"2021-04-26","5686","","","",""
"2021-04-27","5730","","","",""
"2021-04-28","5727","","","",""
"2021-04-29","5709","","","",""
"2021-04-30","5715","31205.13","4457.876","56.53","583.72"
"2021-05-06","5613","","","",""
"2021-05-07","5732","28496.13","4070.876","45.45","538.27"
"2021-05-10","5756","","","",""
"2021-05-11","5685","","","",""
"2021-05-12","5696","","","",""
"2021-05-13","5687","","","",""
"2021-05-14","5695","31297.33","4471.033","49.11","489.16"
"2021-05-17","5784","","","",""
"2021-05-18","5802","","","",""
"2021-05-19","5879","","","",""
"2021-05-20","6113","","","",""
"2021-05-21","6329","28166.11","4023.73","39.61","449.54"
"2021-05-24","6354","","","",""
"2021-05-25","6309","","","",""
"2021-05-26","6003","","","",""
"2021-05-27","6294","","","",""
"2021-05-28","6254","28750.71","4107.244","36.67","412.87"
"2021-05-31","6260","","","",""
"2021-06-01","6238","","","",""
"2021-06-02","6150","","","",""
"2021-06-03","6147","","","",""
"2021-06-04","6288","27586.15","3940.879","35.38","377.5"
"2021-06-07","6276","","","",""
"2021-06-08","6226","","","",""
"2021-06-09","6312","","","",""
"2021-06-10","6276","","","",""
"2021-06-11","6316","25695.43","3670.776","32.86","344.63"
"2021-06-15","6329","","","",""
"2021-06-16","6318","","","",""
"2021-06-17","6292","","","",""
"2021-06-18","6353","26759.04","3822.72","28.82","315.82"
"2021-06-21","6191","","","",""
"2021-06-22","6188","","","",""
"2021-06-23","6169","","","",""
"2021-06-24","6242","","","",""
"2021-06-25","6177","26759.04","3822.72","26.71","289.11"
