date,close,煤炭：国有重点煤矿企业：产量：中国（旬）,原煤：大型煤炭企业：产量累计值（月）,原煤：大型煤炭企业：产量累计同比（月）,洗精煤：大型煤炭企业：产量累计值：中国（月）,洗精煤：大型煤炭企业：产量累计同比：中国（月）,煤矿：国有重点煤矿企业：产量：中国（月）,统计局：中国：工业产品：产量：原煤（月）,煤炭：国有重点煤矿企业：销售数合计：中国（旬）,煤炭：国有重点煤矿企业：销售数合计：中国（月）,煤炭：销量：中国（月）,煤炭：重点发电企业：供应量：中国（旬）,煤炭：重点发电企业：消费量：中国（旬）,煤炭：国有重点煤矿企业：库存：中国（旬）,煤炭：重点发电企业：库存平均可用天数：中国（旬）,煤炭：重点发电企业：库存：中国（旬）,煤炭：重点发电企业：库存同期增减：中国（月）,样本洗煤厂（110家）：精煤：库存：中国（周）,样本洗煤厂（110家）：煤炭：开工率：中国（周）,样本洗煤厂（110家）：精煤：日均产量：中国（周）,样本洗煤厂（110家）：原煤：库存：中国（周）,炼焦煤：进口：港口库存（周）,230家独立焦化厂：炼焦煤：库存：中国（周）,炼焦煤：247家钢厂样本焦化厂：库存：中国（周）,炼焦煤：矿山企业库存：中国（周）,炼焦煤：独立焦化企业：库存：中国（周）,炼焦煤：独立焦化企业：平均可用天数：中国（周）
"2018-01-30","1295","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-01-31","1293.5","","","","","","15503.88","","","14059.45","","12870","13836","","12","5414","","","","","","","","","","",""
"2018-02-01","1289","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-02","1331.5","","","","","","","","","","","","","","","","","","","","","185.2","1610.1","1065.03","135.74","1754.06","18.1"
"2018-02-05","1369","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-06","1359","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-07","1368","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-08","1364","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-09","1356","","","","","","","","","","","","","","","","","","","","","186.8","1719.09","1063.99","114.6","1872.17","19.21"
"2018-02-10","","","","","","","","","","","","4645","4178","","13","5784","","","","","","","","","","",""
"2018-02-12","1364","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-13","1364.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-14","1373.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-20","","","","","","","","","","","","7737","7099","","15","5942","","","","","","","","","","",""
"2018-02-22","1378","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-23","1398","","","","","","","","","","","","","","","","","","","","","165.25","1472.9","1056.84","117.85","1610.8","16.39"
"2018-02-26","1412","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-27","1428.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-28","1412.5","","40303","7.2","13543.4","7.1","13868.09","","","12703.8","","10917","9740","","18","6470","869","","","","","","","","","",""
"2018-03-01","1401","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-02","1394","","","","","","","","","","","","","","","","","","","","","141.1","1403.05","1072.83","117.24","1533.53","15.43"
"2018-03-05","1374.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-06","1378","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-07","1347.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-08","1324.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-09","1300.5","","","","","","","","","","","","","","","","","","","","","212.5","1380.34","1047.76","142.46","1510.26","15.24"
"2018-03-10","","2690","","","","","","","2054","","","","","1338","","","","","","","","","","","","",""
"2018-03-12","1266","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-13","1251.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-14","1294.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-15","1285","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-16","1288.5","","","","","","","","","","","","","","","","","","","","","205.7","1367.55","1059.14","148.93","1500.51","15.55"
"2018-03-19","1286","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-20","1288.5","5288","","","","","","","3965","","","7100","7220","1408","18","6278","","","","","","","","","","",""
"2018-03-21","1291.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-22","1275.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-23","1230","","","","","","","","","","","","","","","","","","","","","198.2","1339.8","1023.82","151.22","1479.75","15.31"
"2018-03-26","1243.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-27","1251.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-28","1231.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-29","1251","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-30","1281.5","","","","","","","","","","","","","","","","","","","","","183.5","1323.9","1051.69","172.42","1461.31","14.9"
"2018-03-31","","","61576.4","5.4","21640.7","6.7","15876.72","29021.8","","14331.76","29500","11005","11098","","17","6257","1223","","","","","","","","","",""
"2018-04-02","1281","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-03","1286.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-04","1300.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-06","","","","","","","","","","","","","","","","","","","","","","216","1333.3","1068.37","174.15","1468.26","14.81"
"2018-04-09","1291","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-10","1284.5","2751","","","","","","","2096","","","3230","3300","1433","17","6158","","","","","","","","","","",""
"2018-04-11","1149.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-12","1124.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
