date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2021-02-04","7645","","","","","","0.17","","","","","","","","","",""
"2021-02-05","7625","6.67","86.97","87.33","85.54","","0","14","44","70.22","14.94","12","38","","87.87","30.78","2.48"
"2021-02-06","","6.67","","","","","","","","","","","","","","",""
"2021-02-07","","6.64","","","","","0.06","","","","","","","","","",""
"2021-02-08","7640","6.6","","","","","0.06","","","","","","","","","",""
"2021-02-09","7720","6.59","","","","","0.06","","","","","","","","","",""
"2021-02-10","7720","6.59","","","","","0.06","","","","","","","","","",""
"2021-02-11","","6.59","","","","","","","","","","","","","","",""
"2021-02-12","","6.59","86.35","87.22","82.89","","","20","30","68.36","17.3","0","66.67","","88.13","30.85","2.41"
"2021-02-13","","6.63","","","","","","","","","","","","","","",""
"2021-02-14","","6.63","","","","","","","","","","","","","","",""
"2021-02-15","","6.63","","","","","","","","","","","","","","",""
"2021-02-16","","6.66","","","","","","","","","","","","","","",""
"2021-02-17","","6.66","","","","","","","","","","","","","","",""
"2021-02-18","8000","6.66","","","","","0","","","","","","","","","",""
"2021-02-19","8220","6.66","87.16","88.21","83.02","","0","2","81","45.33","27.7","0","66.67","","88.13","30.85","2.41"
"2021-02-20","","6.77","","","","","0.69","","","","","","","","","",""
"2021-02-21","","6.77","","","","","","","","","","","","","","",""
"2021-02-22","8610","6.77","","","","","1.2","","","","","","","","","",""
"2021-02-23","8610","6.77","","","","","0.69","","","","","","","","","",""
"2021-02-24","8520","6.77","","","","","0.34","","","","","","","","","",""
"2021-02-25","8500","6.71","","","","","0.46","","","","","","","","","",""
"2021-02-26","8505","6.61","88.41","89","86.11","","0.43","21","33","43.41","31.38","38.75","63.33","","87.75","30.61","2.65"
"2021-02-27","","6.68","","","","","","","","","","","","","","",""
"2021-02-28","","6.68","","","","173.93","","","","","","","","9.3019","","",""
"2021-03-01","8340","6.62","","","","","0.95","","","","","","","","","",""
"2021-03-02","8345","6.6","","","","","0.42","","","","","","","","","",""
"2021-03-03","8540","6.6","","","","","0.73","","","","","","","","","",""
"2021-03-04","8375","6.56","","","","","0.76","","","","","","","","","",""
"2021-03-05","8430","6.45","86.44","87.89","80.69","","0.69","26","18","44.16","34.69","43.13","55","","86.79","30.13","3.14"
"2021-03-06","","6.49","","","","","","","","","","","","","","",""
"2021-03-07","","6.49","","","","","","","","","","","","","","",""
"2021-03-08","8695","6.48","","","","","1.03","","","","","","","","","",""
"2021-03-09","8560","6.45","","","","","1.22","","","","","","","","","",""
"2021-03-10","8455","6.46","","","","","0.94","","","","","","","","","",""
"2021-03-11","8705","6.45","","","","","0.93","","","","","","","","","",""
