date,close,甲醇：港口库存：中国（周）,甲醇：厂内库存：中国（周）,甲醇：社会库存：中国（周）,甲醇：传统下游厂家：采购量：中国（周）,二氯乙烷：产量：中国（月）,甲醇：采购量：中国（月）,冰醋酸：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（月）,甲醇：开工率同比：中国（月）,甲醇：原料：下游厂家：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：平均开工率：中国（周）,二甲醚：开工率：中国（周）,甲醇：产量同比：中国（日）,甲醇：待发订单：数量：中国（周）,甲醇：产量：中国（日）,甲醇：开工率：中国（日）,甲醇：签约订单：数量：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（周）,甲醛：开工率：中国（周）,甲醇：期末库存：中国（月）,三氯甲烷：产量：中国（日）,甲醇：除中国以外的生产企业：开工率：全球（日）,甲醇：到港量：中国（周）,甲醇：表观消费量环比：中国（月）,甲醇：产能同比：中国（日）,甲醇：表观消费量：中国（月）,甲醇：产能：中国（日）,甲醇：表观消费量同比：中国（月）,甲醇：产能：国外（日）,甲醛：产量：中国（月）,二氯甲烷：平均开工率：中国（周）
"2018-11-07","2833","","","","","","","","","","","","","","","191700.11","68.8402","","","","","","","","","","","278470.9925","","","",""
"2018-11-08","2860","","","","","","","","","","","","","","","190000.11","68.2298","","","","","","","","","","","278470.9925","","","",""
"2018-11-09","2837","715400","300900","1016300","21750","","","","","","26820","68.1","","","203320","189630.11","68.0969","","271150","","","","","15.29","","","","278470.9925","","","","74.64"
"2018-11-10","","","","","","","","","","","","","","","","192455.11","69.1114","","","","","","","","","","","278470.9925","","","",""
"2018-11-11","","","","","","","","","","","","","","","","193705.11","69.5602","","","","","","","","","","","278470.9925","","","",""
"2018-11-12","2796","","","","","","","","","","","","","","","195905.11","70.3503","","","","","","","","","","","278470.9925","","","",""
"2018-11-13","2793","","","","","","","","","","","","","","","196855.11","70.6914","","","","","","","","","","","278470.9925","","","",""
"2018-11-14","2715","","","","","","","","","","","","","","","197355.11","70.871","","","","","","","","","","","278470.9925","","","",""
"2018-11-15","2739","","","","","","","","","","","","","","","198735.11","71.3665","","","","","","","","","","","278470.9925","","","",""
"2018-11-16","2773","742300","358300","1100600","21050","","","","","","24400","63.33","","","180620","197275.11","70.8422","","167000","","","","","21.1","","","","278470.9925","","","","72.62"
"2018-11-17","","","","","","","","","","","","","","","","196620.11","70.607","","","","","","","","","","","278470.9925","","","",""
"2018-11-18","","","","","","","","","","","","","","","","195870.11","70.3377","","","","","","","","","","","278470.9925","","","",""
"2018-11-19","2722","","","","","","","","","","","","","","","198220.11","71.1816","","","","","","","","","","","278470.9925","","","",""
"2018-11-20","2677","","","","","","","","","","","","","","","196920.11","70.7148","","","","","","","","","","","278470.9925","","","",""
"2018-11-21","2560","","","","","","","","","","","","","","","198730.11","71.3647","","","","","","","","","","","278470.9925","","","",""
"2018-11-22","2554","","","","","","","","","","","","","","","197100.11","70.7794","","","","","","","","","","","278470.9925","","","",""
"2018-11-23","2474","759300","339090","1098390","23800","","","","","","30900","60.71","","","218370","196900.11","70.7076","","108700","","","","","16.45","","","","278470.9925","","","","72.62"
"2018-11-24","","","","","","","","","","","","","","","","197280.11","70.844","","","","","","","","","","","278470.9925","","","",""
"2018-11-25","","","","","","","","","","","","","","","","198000.11","71.1026","","","","","","","","","","","278470.9925","","","",""
"2018-11-26","2394","","","","","","","","","","","","","","","195060.11","70.0468","","","","","","","","","","","278470.9925","","","",""
"2018-11-27","2388","","","","","","","","","","","","","","","194110.11","69.7057","","","","","","","","","","","278470.9925","","","",""
"2018-11-28","2452","","","","","","","","","","","","","","","190530.11","68.4201","","","","","","","","","","","278470.9925","","","",""
"2018-11-29","2414","","","","","","","","","","","","","","","191940.11","68.9264","","","","","","","","","","","278470.9925","","","",""
"2018-11-30","2337","743300","324100","1067400","21150","26000","93607.15","","760335.73","","26700","54.43","","","226700","192040.11","68.9623","","171500","","743300","","","13.49","-8.7","","569.21","278470.9925","22.45","","","72.62"
"2018-12-01","","","","","","","","","","","","","","","","197905.11","71.0685","","","","","","","","","","","278470.9925","","","",""
"2018-12-02","","","","","","","","","","","","","","","","197995.11","71.1008","","","","","","","","","","","278470.9925","","","",""
"2018-12-03","2308","","","","","","","","","","","","","","","196895.11","70.7058","","","","","","","","","","","278470.9925","","","",""
"2018-12-04","2477","","","","","","","","","","","","","","","197415.11","70.8925","","","","","","","","","","","278470.9925","","","",""
"2018-12-05","2487","","","","","","","","","","","","","","","197765.11","71.0182","","","","","","","","","","","278470.9925","","","",""
"2018-12-06","2455","","","","","","","","","","","","","","","197215.11","70.8207","","","","","","","","","","","278470.9925","","","",""
"2018-12-07","2506","703700","320710","1024410","27300","","","","","","27850","59.86","","","255300","197115.11","70.7848","","133900","","","","","24.53","","","","278470.9925","","","","80.69"
"2018-12-08","","","","","","","","","","","","","","","","198655.11","71.3378","","","","","","","","","","","278470.9925","","","",""
"2018-12-09","","","","","","","","","","","","","","","","200725.11","72.0812","","","","","","","","","","","278470.9925","","","",""
"2018-12-10","2470","","","","","","","","","","","","","","","200425.11","71.9734","","","","","","","","","","","278470.9925","","","",""
"2018-12-11","2397","","","","","","","","","","","","","","","199505.11","71.643","","","","","","","","","","","278470.9925","","","",""
"2018-12-12","2433","","","","","","","","","","","","","","","199805.11","71.7508","","","","","","","","","","","278470.9925","","","",""
"2018-12-13","2459","","","","","","","","","","","","","","","196955.11","70.7273","","","","","","","","","","","278470.9925","","","",""
"2018-12-14","2493","740200","306100","1046300","26800","","","","","","38180","66.05","","","250250","197155.11","70.7992","","261500","","","","","23.42","","","","278470.9925","","","","76.43"
"2018-12-15","","","","","","","","","","","","","","","","197235.11","70.8279","","","","","","","","","","","278470.9925","","","",""
"2018-12-16","","","","","","","","","","","","","","","","196735.11","70.6483","","","","","","","","","","","278470.9925","","","",""
"2018-12-17","2504","","","","","","","","","","","","","","","194735.11","69.9301","","","","","","","","","","","278470.9925","","","",""
"2018-12-18","2471","","","","","","","","","","","","","","","197835.11","71.0433","","","","","","","","","","","278470.9925","","","",""
